id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2,match_year,match_month,win_type,margin_category,toss_impact,match_type,venue_advantage,season
335982,Bangalore,2008-04-18,BB McCullum,M Chinnaswamy Stadium,No,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,N,Regular,Asad Rauf,RE Koertzen,2008,4,runs,Big Win,No,League,Team2,2008
335983,Chandigarh,2008-04-19,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",No,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,N,Regular,MR Benson,SL Shastri,2008,4,runs,Close Win,Yes,League,Team2,2008
335984,Delhi,2008-04-19,MF Maharoof,Feroz Shah Kotla,No,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,Delhi Daredevils,wickets,9.0,N,Regular,Aleem Dar,GA Pratapkumar,2008,4,wickets,Close Win,No,League,Team1,2008
335985,Mumbai,2008-04-20,MV Boucher,Wankhede Stadium,No,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,N,Regular,SJ Davis,DJ Harper,2008,4,wickets,Close Win,No,League,Team2,2008
335986,Kolkata,2008-04-20,DJ Hussey,Eden Gardens,No,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,N,Regular,BF Bowden,K Hariharan,2008,4,wickets,Close Win,No,League,Team1,2008
335987,Jaipur,2008-04-21,SR Watson,Sawai Mansingh Stadium,No,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6.0,N,Regular,Aleem Dar,RB Tiffin,2008,4,wickets,Close Win,No,League,Team1,2008
335988,Hyderabad,2008-04-22,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",No,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,wickets,9.0,N,Regular,IL Howell,AM Saheba,2008,4,wickets,Close Win,No,League,Team2,2008
335989,Chennai,2008-04-23,ML Hayden,"MA Chidambaram Stadium, Chepauk",No,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,N,Regular,DJ Harper,GA Pratapkumar,2008,4,runs,Close Win,No,League,Team1,2008
335990,Hyderabad,2008-04-24,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",No,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,N,Regular,Asad Rauf,MR Benson,2008,4,wickets,Close Win,Yes,League,Team2,2008
335991,Chandigarh,2008-04-25,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",No,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66.0,N,Regular,Aleem Dar,AM Saheba,2008,4,runs,Big Win,No,League,Team1,2008
335992,Bangalore,2008-04-26,SR Watson,M Chinnaswamy Stadium,No,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,N,Regular,MR Benson,IL Howell,2008,4,wickets,Close Win,Yes,League,Team2,2008
335993,Chennai,2008-04-26,JDP Oram,"MA Chidambaram Stadium, Chepauk",No,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,N,Regular,BF Bowden,AV Jayaprakash,2008,4,wickets,Close Win,No,League,Team1,2008
335994,Mumbai,2008-04-27,AC Gilchrist,Dr DY Patil Sports Academy,No,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,wickets,10.0,N,Regular,Asad Rauf,SL Shastri,2008,4,wickets,Close Win,Yes,League,Team2,2008
335995,Chandigarh,2008-04-27,SM Katich,"Punjab Cricket Association Stadium, Mohali",No,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,Kings XI Punjab,wickets,4.0,N,Regular,RE Koertzen,I Shivram,2008,4,wickets,Close Win,No,League,Team1,2008
